day,# job completati, # job B completati, # job P completati,#job B nel nodo, # job P nel nodo, # coda B, #coda P,last arrival B [H], last arrival P [H], area B, area P, revenue B, revenue P, revenue, costs, daily revenue, incremental grass revenue, incremental revenue, incremental costs
1,135,116,19,0,1,0,0,21.62,21.70,225.81,64.88,464.00,133.00,597.00,676.51,-79.51,597.00,-79.51,676.51
2,163,146,17,0,1,0,0,21.15,21.16,500.85,106.39,584.00,119.00,703.00,752.83,-49.83,1300.00,-129.33,1429.33
3,184,169,15,0,0,0,0,20.12,20.11,830.37,154.47,676.00,105.00,781.00,808.99,-27.99,2081.00,-157.32,2238.32
4,224,192,32,2,0,0,0,21.51,21.20,1254.41,247.09,768.00,224.00,992.00,960.91,31.09,3073.00,-126.23,3199.23
5,243,226,17,1,3,0,1,20.53,20.49,1728.67,316.32,904.00,119.00,1023.00,983.23,39.77,4096.00,-86.45,4182.45
6,405,359,46,0,1,0,0,20.09,20.18,2605.05,594.91,1436.00,322.00,1758.00,1512.43,245.57,5854.00,159.12,5694.88
7,290,248,42,0,1,0,0,20.23,20.27,3200.47,763.71,992.00,294.00,1286.00,1172.59,113.41,7140.00,272.53,6867.47
8,210,181,29,1,0,0,0,21.41,21.32,3549.04,866.46,724.00,203.00,927.00,914.11,12.89,8067.00,285.43,7781.57
9,168,158,10,0,0,0,0,20.40,20.27,3889.64,899.36,632.00,70.00,702.00,752.11,-50.11,8769.00,235.32,8533.68
10,221,196,25,0,0,0,0,20.98,20.92,4325.82,974.20,784.00,175.00,959.00,937.15,21.85,9728.00,257.17,9470.83
11,202,180,22,0,0,0,0,21.61,21.46,4698.99,1050.00,720.00,154.00,874.00,875.95,-1.95,10602.00,255.23,10346.77
12,224,217,7,0,1,0,0,20.01,20.25,5128.12,1066.42,868.00,49.00,917.00,906.91,10.09,11519.00,265.32,11253.68
13,408,339,69,0,4,0,2,20.39,20.41,5871.88,1490.01,1356.00,483.00,1839.00,1570.75,268.25,13358.00,533.57,12824.43
14,321,255,66,0,1,0,0,21.08,21.11,6481.23,1782.70,1020.00,462.00,1482.00,1313.71,168.29,14840.00,701.87,14138.13
15,203,186,17,0,1,0,0,21.35,21.48,6870.64,1823.88,744.00,119.00,863.00,868.03,-5.03,15703.00,696.84,15006.16
16,164,157,7,0,0,0,0,20.52,20.56,7166.16,1841.53,628.00,49.00,677.00,734.11,-57.11,16380.00,639.73,15740.27
17,202,184,18,0,0,0,0,21.15,21.15,7510.33,1896.96,736.00,126.00,862.00,867.31,-5.31,17242.00,634.43,16607.57
18,186,172,14,0,0,0,0,20.63,20.55,7873.91,1934.05,688.00,98.00,786.00,812.59,-26.59,18028.00,607.84,17420.16
19,299,254,45,0,2,0,0,21.13,21.23,8401.03,2215.95,1016.00,315.00,1331.00,1204.99,126.01,19359.00,733.85,18625.15
20,426,361,65,0,2,0,0,21.51,21.66,9199.31,2441.36,1444.00,455.00,1899.00,1613.95,285.05,21258.00,1018.91,20239.09
21,288,261,27,1,0,0,0,21.96,21.93,9823.59,2528.22,1044.00,189.00,1233.00,1134.43,98.57,22491.00,1117.48,21373.52
22,186,161,25,1,0,0,0,21.71,21.77,10178.57,2598.24,644.00,175.00,819.00,836.35,-17.35,23310.00,1100.13,22209.87
23,208,190,18,1,0,0,0,21.52,21.51,10562.33,2664.76,760.00,126.00,886.00,884.59,1.41,24196.00,1101.55,23094.45
24,195,186,9,1,0,0,0,20.99,20.69,10908.97,2679.04,744.00,63.00,807.00,827.71,-20.71,25003.00,1080.84,23922.16
25,172,166,6,0,0,0,0,20.03,21.88,11229.69,2694.28,664.00,42.00,706.00,754.99,-48.99,25709.00,1031.85,24677.15
26,357,283,74,1,3,0,1,21.76,21.76,11851.02,2927.84,1132.00,518.00,1650.00,1434.67,215.33,27359.00,1247.19,26111.81
27,320,299,21,0,2,0,0,20.39,20.44,12506.42,3013.75,1196.00,147.00,1343.00,1213.63,129.37,28702.00,1376.56,27325.44
28,343,280,63,1,1,0,0,21.38,21.48,13159.63,3399.75,1120.00,441.00,1561.00,1370.59,190.41,30263.00,1566.97,28696.03
29,192,183,9,1,1,0,0,20.01,20.02,13581.80,3442.29,732.00,63.00,795.00,819.07,-24.07,31058.00,1542.91,29515.09
30,195,169,26,0,0,0,0,19.87,21.99,13926.81,3528.77,676.00,182.00,858.00,864.43,-6.43,31916.00,1536.48,30379.52
31,199,170,29,0,0,0,0,20.72,20.76,14266.02,3611.91,680.00,203.00,883.00,882.43,0.57,32799.00,1537.05,31261.95
32,184,165,19,1,0,0,0,20.37,20.37,14577.83,3664.13,660.00,133.00,793.00,817.63,-24.63,33592.00,1512.43,32079.57
33,301,268,33,0,1,0,0,20.53,20.54,15136.51,3779.26,1072.00,231.00,1303.00,1184.83,118.17,34895.00,1630.60,33264.40
34,430,344,86,2,2,0,0,21.40,21.39,16021.08,4237.89,1376.00,602.00,1978.00,1670.83,307.17,36873.00,1937.77,34935.23
35,300,263,37,1,1,0,0,21.74,21.72,16674.48,4386.51,1052.00,259.00,1311.00,1190.59,120.41,38184.00,2058.19,36125.81
36,158,150,8,0,0,0,0,19.93,21.97,17001.53,4415.89,600.00,56.00,656.00,718.99,-62.99,38840.00,1995.20,36844.80
37,193,169,24,0,0,0,0,20.31,20.29,17322.58,4490.57,676.00,168.00,844.00,854.35,-10.35,39684.00,1984.85,37699.15
38,219,196,23,1,0,0,0,21.26,20.69,17688.01,4575.28,784.00,161.00,945.00,927.07,17.93,40629.00,2002.79,38626.21
39,213,180,33,1,0,0,0,21.50,21.43,18072.35,4691.50,720.00,231.00,951.00,931.39,19.61,41580.00,2022.40,39557.60
40,318,257,61,1,0,0,0,21.92,21.93,18570.70,4871.22,1028.00,427.00,1455.00,1294.27,160.73,43035.00,2183.13,40851.87
41,388,334,54,0,5,0,3,21.84,21.90,19323.54,5055.75,1336.00,378.00,1714.00,1480.75,233.25,44749.00,2416.39,42332.61
42,268,247,21,0,0,0,0,21.34,21.36,19878.26,5116.80,988.00,147.00,1135.00,1063.87,71.13,45884.00,2487.52,43396.48
43,183,169,14,0,0,0,0,20.75,20.66,20181.64,5133.03,676.00,98.00,774.00,803.95,-29.95,46658.00,2457.57,44200.43
44,219,190,29,1,3,0,1,20.93,20.96,20552.48,5264.15,760.00,203.00,963.00,940.03,22.97,47621.00,2480.55,45140.45
45,201,189,12,1,1,0,0,20.21,20.23,20961.40,5303.25,756.00,84.00,840.00,851.47,-11.47,48461.00,2469.08,45991.92
46,200,179,21,0,2,0,0,20.15,20.13,21270.10,5368.46,716.00,147.00,863.00,868.03,-5.03,49324.00,2464.05,46859.95
47,305,259,46,1,0,0,0,20.67,20.68,21887.95,5473.45,1036.00,322.00,1358.00,1224.43,133.57,50682.00,2597.63,48084.37
48,399,310,89,0,1,0,0,20.98,21.27,22522.44,5943.56,1240.00,623.00,1863.00,1588.03,274.97,52545.00,2872.60,49672.40
49,253,229,24,1,0,0,0,21.45,21.38,23007.28,6022.82,916.00,168.00,1084.00,1027.15,56.85,53629.00,2929.45,50699.55
50,152,150,2,0,1,0,0,20.09,20.09,23260.23,6033.89,600.00,14.00,614.00,688.75,-74.75,54243.00,2854.71,51388.29
51,188,164,24,2,0,0,0,20.74,20.67,23620.42,6115.58,656.00,168.00,824.00,839.95,-15.95,55067.00,2838.76,52228.24
52,203,173,30,1,2,0,0,21.94,21.93,23997.89,6214.89,692.00,210.00,902.00,896.11,5.89,55969.00,2844.65,53124.35
53,165,157,8,1,0,0,0,20.39,20.30,24299.46,6230.96,628.00,56.00,684.00,739.15,-55.15,56653.00,2789.51,53863.49
54,259,240,19,1,0,0,0,19.97,21.94,24809.57,6287.11,960.00,133.00,1093.00,1033.63,59.37,57746.00,2848.88,54897.12
55,394,320,74,1,3,0,1,20.22,20.25,25525.19,6610.08,1280.00,518.00,1798.00,1541.23,256.77,59544.00,3105.65,56438.35
56,314,251,63,1,0,0,0,20.43,20.43,26068.69,7135.30,1004.00,441.00,1445.00,1287.07,157.93,60989.00,3263.59,57725.41
57,205,176,29,0,1,0,0,21.61,21.66,26436.42,7206.85,704.00,203.00,907.00,899.71,7.29,61896.00,3270.88,58625.12
58,152,148,4,1,1,0,0,20.02,20.08,26775.09,7215.34,592.00,28.00,620.00,693.07,-73.07,62516.00,3197.81,59318.19
59,237,206,31,0,1,0,0,20.78,20.79,27290.91,7312.43,824.00,217.00,1041.00,996.19,44.81,63557.00,3242.63,60314.37
60,168,156,12,0,0,0,0,19.92,21.71,27603.41,7347.23,624.00,84.00,708.00,756.43,-48.43,64265.00,3194.20,61070.80
61,270,234,36,0,2,0,0,20.58,20.63,28098.47,7505.45,936.00,252.00,1188.00,1102.03,85.97,65453.00,3280.17,62172.83
62,448,363,85,0,1,0,0,21.69,21.78,29132.76,7848.18,1452.00,595.00,2047.00,1720.51,326.49,67500.00,3606.67,63893.33
63,253,238,15,2,0,0,0,21.03,20.98,29679.13,7896.98,952.00,105.00,1057.00,1007.71,49.29,68557.00,3655.96,64901.04
64,198,178,20,1,0,0,0,21.30,21.23,29998.48,7966.43,712.00,140.00,852.00,860.11,-8.11,69409.00,3647.85,65761.15
65,179,172,7,0,0,0,0,19.99,21.99,30346.45,7984.00,688.00,49.00,737.00,777.31,-40.31,70146.00,3607.55,66538.45
66,218,185,33,1,2,0,0,21.93,21.96,30673.62,8084.52,740.00,231.00,971.00,945.79,25.21,71117.00,3632.76,67484.24
67,194,178,16,0,0,0,0,20.70,20.82,31049.05,8143.30,712.00,112.00,824.00,839.95,-15.95,71941.00,3616.81,68324.19
68,278,239,39,0,2,0,0,20.78,20.90,31577.76,8285.43,956.00,273.00,1229.00,1131.55,97.45,73170.00,3714.27,69455.73
69,379,335,44,3,5,1,3,20.65,20.67,32402.79,8570.79,1340.00,308.00,1648.00,1433.23,214.77,74818.00,3929.04,70888.96
70,282,234,48,0,0,0,0,21.41,21.39,32855.98,8766.00,936.00,336.00,1272.00,1162.51,109.49,76090.00,4038.53,72051.47
71,192,175,17,1,0,0,0,21.08,20.98,33243.67,8809.80,700.00,119.00,819.00,836.35,-17.35,76909.00,4021.19,72887.81
72,168,151,17,0,0,0,0,20.75,20.87,33563.31,8882.02,604.00,119.00,723.00,767.23,-44.23,77632.00,3976.96,73655.04
73,142,136,6,1,0,0,0,20.02,20.01,33837.99,8900.46,544.00,42.00,586.00,668.59,-82.59,78218.00,3894.37,74323.63
74,201,183,18,1,0,0,0,20.24,21.95,34264.97,8950.63,732.00,126.00,858.00,864.43,-6.43,79076.00,3887.95,75188.05
75,360,285,75,0,0,0,0,21.85,21.83,34795.94,9402.99,1140.00,525.00,1665.00,1445.47,219.53,80741.00,4107.48,76633.52
76,308,292,16,0,1,0,0,20.40,20.38,35450.49,9481.30,1168.00,112.00,1280.00,1168.27,111.73,82021.00,4219.21,77801.79
77,281,235,46,0,2,0,0,20.56,20.58,35984.35,9706.24,940.00,322.00,1262.00,1155.31,106.69,83283.00,4325.91,78957.09
78,216,185,31,0,0,0,0,21.22,20.87,36390.95,9788.46,740.00,217.00,957.00,935.71,21.29,84240.00,4347.20,79892.80
79,186,167,19,0,0,0,0,21.44,21.37,36782.40,9850.51,668.00,133.00,801.00,823.39,-22.39,85041.00,4324.81,80716.19
80,213,192,21,1,0,0,0,21.70,21.65,37143.31,9905.85,768.00,147.00,915.00,905.47,9.53,85956.00,4334.35,81621.65
81,180,175,5,0,2,0,0,20.43,20.50,37526.53,9921.27,700.00,35.00,735.00,775.87,-40.87,86691.00,4293.48,82397.52
82,269,255,14,1,4,0,2,20.09,20.05,38064.95,9984.17,1020.00,98.00,1118.00,1051.63,66.37,87809.00,4359.85,83449.15
83,419,342,77,0,1,0,0,20.77,20.75,38821.58,10734.00,1368.00,539.00,1907.00,1619.71,287.29,89716.00,4647.15,85068.85
84,296,244,52,1,0,0,0,21.01,20.98,39390.64,10985.50,976.00,364.00,1340.00,1211.47,128.53,91056.00,4775.68,86280.32
85,228,197,31,0,2,0,0,21.82,21.94,39779.90,11083.96,788.00,217.00,1005.00,970.27,34.73,92061.00,4810.41,87250.59
86,206,189,17,1,0,0,0,21.89,21.53,40231.94,11131.08,756.00,119.00,875.00,876.67,-1.67,92936.00,4808.75,88127.25
87,164,147,17,0,0,0,0,21.18,21.19,40522.28,11164.45,588.00,119.00,707.00,755.71,-48.71,93643.00,4760.04,88882.96
88,168,156,12,0,1,0,0,20.64,20.71,40880.58,11197.56,624.00,84.00,708.00,756.43,-48.43,94351.00,4711.61,89639.39
89,275,244,31,0,4,0,2,20.76,20.75,41354.18,11276.59,976.00,217.00,1193.00,1105.63,87.37,95544.00,4798.99,90745.01
90,325,291,34,1,0,0,0,20.19,20.14,41922.86,11409.23,1164.00,238.00,1402.00,1256.11,145.89,96946.00,4944.88,92001.12
91,330,266,64,0,0,0,0,20.67,20.98,42554.73,11751.19,1064.00,448.00,1512.00,1335.31,176.69,98458.00,5121.57,93336.43
92,196,181,15,0,0,0,0,21.33,21.23,42948.47,11802.53,724.00,105.00,829.00,843.55,-14.55,99287.00,5107.03,94179.97
93,209,187,22,0,1,0,0,21.89,21.91,43349.84,11874.44,748.00,154.00,902.00,896.11,5.89,100189.00,5112.92,95076.08
94,157,156,1,1,0,0,0,20.00,21.91,43712.50,11879.22,624.00,7.00,631.00,700.99,-69.99,100820.00,5042.93,95777.07
95,210,177,33,0,0,0,0,21.09,21.05,44101.01,11987.26,708.00,231.00,939.00,922.75,16.25,101759.00,5059.19,96699.81
96,253,232,21,3,4,1,2,20.51,20.50,44555.27,12058.66,928.00,147.00,1075.00,1020.67,54.33,102834.00,5113.52,97720.48
97,454,364,90,2,8,0,6,21.61,21.58,45462.63,12827.75,1456.00,630.00,2086.00,1748.59,337.41,104920.00,5450.93,99469.07
98,276,245,31,1,0,0,0,20.85,20.77,45982.58,13245.00,980.00,217.00,1197.00,1108.51,88.49,106117.00,5539.43,100577.57
99,205,186,19,0,1,0,0,21.35,21.36,46296.33,13311.75,744.00,133.00,877.00,878.11,-1.11,106994.00,5538.32,101455.68
100,169,158,11,3,0,1,0,21.11,20.88,46621.54,13343.73,632.00,77.00,709.00,757.15,-48.15,107703.00,5490.17,102212.83
101,190,177,13,0,0,0,0,20.61,20.71,47025.70,13384.27,708.00,91.00,799.00,821.95,-22.95,108502.00,5467.23,103034.77
102,190,166,24,0,0,0,0,21.76,21.73,47380.95,13473.71,664.00,168.00,832.00,845.71,-13.71,109334.00,5453.52,103880.48
103,243,212,31,0,3,0,1,21.18,21.22,47786.37,13671.97,848.00,217.00,1065.00,1013.47,51.53,110399.00,5505.05,104893.95
104,374,321,53,1,8,0,6,21.00,21.04,48491.46,13980.48,1284.00,371.00,1655.00,1438.27,216.73,112054.00,5721.79,106332.21
105,278,243,35,1,0,0,0,21.12,20.97,48962.65,14196.66,972.00,245.00,1217.00,1122.91,94.09,113271.00,5815.88,107455.12
106,173,158,15,3,0,1,0,20.51,20.49,49305.34,14244.05,632.00,105.00,737.00,777.31,-40.31,114008.00,5775.57,108232.43
107,233,197,36,0,2,0,0,21.32,21.37,49663.22,14401.50,788.00,252.00,1040.00,995.47,44.53,115048.00,5820.11,109227.89
108,179,158,21,0,1,0,0,21.23,21.23,49999.45,14487.61,632.00,147.00,779.00,807.55,-28.55,115827.00,5791.56,110035.44
109,190,179,11,3,1,1,0,20.54,20.55,50350.19,14525.02,716.00,77.00,793.00,817.63,-24.63,116620.00,5766.93,110853.07
110,336,289,47,1,2,0,0,21.27,21.32,51042.60,14707.90,1156.00,329.00,1485.00,1315.87,169.13,118105.00,5936.07,112168.93
111,325,295,30,1,3,0,1,20.25,20.20,51631.20,14987.12,1180.00,210.00,1390.00,1247.47,142.53,119495.00,6078.60,113416.40
112,306,247,59,1,0,0,0,20.36,20.32,52214.81,15459.82,988.00,413.00,1401.00,1255.39,145.61,120896.00,6224.21,114671.79
113,208,182,26,1,0,0,0,21.79,21.74,52585.29,15556.34,728.00,182.00,910.00,901.87,8.13,121806.00,6232.35,115573.65
114,159,154,5,0,1,0,0,20.35,20.46,52923.45,15565.94,616.00,35.00,651.00,715.39,-64.39,122457.00,6167.96,116289.04
115,203,179,24,2,1,0,0,20.48,20.50,53300.67,15660.56,716.00,168.00,884.00,883.15,0.85,123341.00,6168.81,117172.19
116,222,199,23,1,3,0,1,21.74,21.73,53702.82,15711.41,796.00,161.00,957.00,935.71,21.29,124298.00,6190.11,118107.89
117,251,231,20,0,1,0,0,20.53,20.47,54256.80,15805.88,924.00,140.00,1064.00,1012.75,51.25,125362.00,6241.36,119120.64
118,455,354,101,0,9,0,7,21.79,21.84,55089.02,16323.56,1416.00,707.00,2123.00,1775.23,347.77,127485.00,6589.13,120895.87
119,285,255,30,0,0,0,0,21.83,21.81,55572.96,16509.51,1020.00,210.00,1230.00,1132.27,97.73,128715.00,6686.87,122028.13
120,142,141,1,1,1,0,0,20.10,20.07,55863.29,16511.51,564.00,7.00,571.00,657.79,-86.79,129286.00,6600.08,122685.92
121,238,200,38,0,2,0,0,21.79,21.77,56290.83,16648.87,800.00,266.00,1066.00,1014.19,51.81,130352.00,6651.89,123700.11
122,159,156,3,0,0,0,0,19.96,21.90,56591.95,16654.35,624.00,21.00,645.00,711.07,-66.07,130997.00,6585.83,124411.17
123,208,178,30,0,1,0,0,20.78,20.83,57010.54,16756.00,712.00,210.00,922.00,910.51,11.49,131919.00,6597.32,125321.68
124,253,233,20,0,0,0,0,20.00,20.03,57517.24,16861.80,932.00,140.00,1072.00,1018.51,53.49,132991.00,6650.81,126340.19
125,418,340,78,2,1,0,0,20.68,20.69,58239.15,17424.11,1360.00,546.00,1906.00,1618.99,287.01,134897.00,6937.83,127959.17
126,308,264,44,0,1,0,0,20.92,20.93,58910.03,17531.09,1056.00,308.00,1364.00,1228.75,135.25,136261.00,7073.08,129187.92
127,208,184,24,0,0,0,0,21.35,21.31,59316.26,17608.84,736.00,168.00,904.00,897.55,6.45,137165.00,7079.53,130085.47
128,213,193,20,0,1,0,0,21.35,21.43,59667.09,17672.99,772.00,140.00,912.00,903.31,8.69,138077.00,7088.23,130988.77
129,198,174,24,1,2,0,0,21.61,21.64,60034.86,17762.08,696.00,168.00,864.00,868.75,-4.75,138941.00,7083.48,131857.52
130,172,155,17,0,0,0,0,21.57,21.42,60331.63,17821.30,620.00,119.00,739.00,778.75,-39.75,139680.00,7043.73,132636.27
131,295,263,32,0,4,0,2,21.13,21.15,60902.80,17928.66,1052.00,224.00,1276.00,1165.39,110.61,140956.00,7154.35,133801.65
132,344,294,50,2,2,0,0,20.56,20.56,61648.96,18053.19,1176.00,350.00,1526.00,1345.39,180.61,142482.00,7334.96,135147.04
133,338,273,65,0,0,0,0,21.71,21.60,62279.23,18274.20,1092.00,455.00,1547.00,1360.51,186.49,144029.00,7521.45,136507.55
134,202,175,27,1,0,0,0,21.85,21.60,62608.32,18352.62,700.00,189.00,889.00,886.75,2.25,144918.00,7523.71,137394.29
135,190,176,14,0,1,0,0,21.40,21.46,62932.12,18404.57,704.00,98.00,802.00,824.11,-22.11,145720.00,7501.60,138218.40
136,186,174,12,0,1,0,0,20.45,20.46,63306.60,18427.94,696.00,84.00,780.00,808.27,-28.27,146500.00,7473.33,139026.67
137,222,187,35,0,0,0,0,21.17,21.27,63683.20,18562.98,748.00,245.00,993.00,961.63,31.37,147493.00,7504.71,139988.29
138,251,244,7,0,3,0,1,20.29,20.28,64234.11,18593.68,976.00,49.00,1025.00,984.67,40.33,148518.00,7545.04,140972.96
139,436,373,63,0,1,0,0,20.34,20.29,65028.89,18847.48,1492.00,441.00,1933.00,1638.43,294.57,150451.00,7839.61,142611.39
140,323,259,64,0,2,0,0,21.69,21.78,65662.74,19120.02,1036.00,448.00,1484.00,1315.15,168.85,151935.00,8008.47,143926.53
141,234,205,29,1,5,0,3,21.83,21.82,66067.33,19312.17,820.00,203.00,1023.00,983.23,39.77,152958.00,8048.24,144909.76
142,154,142,12,1,3,0,1,20.59,20.58,66368.72,19351.19,568.00,84.00,652.00,716.11,-64.11,153610.00,7984.13,145625.87
143,205,171,34,0,0,0,0,21.47,21.28,66713.80,19446.10,684.00,238.00,922.00,910.51,11.49,154532.00,7995.63,146536.37
144,165,145,20,0,0,0,0,21.06,21.07,67001.33,19515.78,580.00,140.00,720.00,765.07,-45.07,155252.00,7950.56,147301.44
145,309,265,44,1,2,0,0,21.54,21.55,67506.84,19647.54,1060.00,308.00,1368.00,1231.63,136.37,156620.00,8086.93,148533.07
146,344,328,16,0,0,0,0,20.18,20.23,68276.39,19688.62,1312.00,112.00,1424.00,1271.95,152.05,158044.00,8238.99,149805.01
147,313,249,64,1,0,0,0,21.57,21.55,68871.02,19884.05,996.00,448.00,1444.00,1286.35,157.65,159488.00,8396.64,151091.36
148,192,170,22,1,1,0,0,21.59,21.55,69219.60,19992.06,680.00,154.00,834.00,847.15,-13.15,160322.00,8383.49,151938.51
149,178,172,6,1,1,0,0,20.30,20.30,69567.23,20004.25,688.00,42.00,730.00,772.27,-42.27,161052.00,8341.23,152710.77
150,202,163,39,0,0,0,0,21.42,21.22,69897.61,20113.35,652.00,273.00,925.00,912.67,12.33,161977.00,8353.56,153623.44
151,204,185,19,0,0,0,0,21.29,21.19,70295.07,20168.18,740.00,133.00,873.00,875.23,-2.23,162850.00,8351.33,154498.67
152,310,251,59,2,8,0,6,21.40,21.48,70805.47,20401.67,1004.00,413.00,1417.00,1266.91,150.09,164267.00,8501.43,155765.57
153,358,318,40,0,6,0,4,20.66,20.68,71564.61,20902.92,1272.00,280.00,1552.00,1364.11,187.89,165819.00,8689.32,157129.68
154,291,230,61,0,0,0,0,21.20,21.24,72172.17,21172.64,920.00,427.00,1347.00,1216.51,130.49,167166.00,8819.81,158346.19
155,180,165,15,2,1,0,0,20.99,20.98,72524.17,21225.05,660.00,105.00,765.00,797.47,-32.47,167931.00,8787.35,159143.65
156,242,214,28,1,1,0,0,21.88,21.85,72971.70,21342.87,856.00,196.00,1052.00,1004.11,47.89,168983.00,8835.24,160147.76
157,153,146,7,0,1,0,0,20.44,20.59,73315.90,21366.01,584.00,49.00,633.00,702.43,-69.43,169616.00,8765.81,160850.19
158,213,193,20,0,0,0,0,20.32,21.99,73773.50,21455.53,772.00,140.00,912.00,903.31,8.69,170528.00,8774.51,161753.49
159,283,250,33,1,0,0,0,20.71,20.67,74275.08,21606.90,1000.00,231.00,1231.00,1132.99,98.01,171759.00,8872.52,162886.48
160,442,369,73,1,4,0,2,21.23,21.32,75305.87,21920.61,1476.00,511.00,1987.00,1677.31,309.69,173746.00,9182.21,164563.79
161,265,236,29,1,1,0,0,20.73,20.65,75800.57,22039.62,944.00,203.00,1147.00,1072.51,74.49,174893.00,9256.71,165636.29
162,215,193,22,0,0,0,0,20.40,20.50,76174.65,22110.97,772.00,154.00,926.00,913.39,12.61,175819.00,9269.32,166549.68
163,237,201,36,1,0,0,0,21.69,21.63,76543.80,22214.00,804.00,252.00,1056.00,1006.99,49.01,176875.00,9318.33,167556.67
164,195,182,13,0,0,0,0,21.84,21.71,76874.08,22252.28,728.00,91.00,819.00,836.35,-17.35,177694.00,9300.99,168393.01
165,195,179,16,0,0,0,0,21.34,21.35,77273.28,22289.43,716.00,112.00,828.00,842.83,-14.83,178522.00,9286.16,169235.84
166,292,254,38,2,0,0,0,20.83,20.80,77792.45,22385.83,1016.00,266.00,1282.00,1169.71,112.29,179804.00,9398.45,170405.55
167,438,346,92,1,0,0,0,21.97,21.85,78559.24,22840.27,1384.00,644.00,2028.00,1706.83,321.17,181832.00,9719.63,172112.37
168,270,253,17,0,1,0,0,21.88,21.85,79226.15,22901.14,1012.00,119.00,1131.00,1060.99,70.01,182963.00,9789.64,173173.36
169,206,171,35,0,0,0,0,21.91,21.95,79591.78,23046.76,684.00,245.00,929.00,915.55,13.45,183892.00,9803.09,174088.91
170,185,170,15,2,0,0,0,21.29,21.16,79955.97,23130.46,680.00,105.00,785.00,811.87,-26.87,184677.00,9776.23,174900.77
171,182,168,14,2,0,0,0,21.14,20.84,80315.74,23176.38,672.00,98.00,770.00,801.07,-31.07,185447.00,9745.16,175701.84
172,203,179,24,0,0,0,0,21.36,21.52,80683.97,23257.13,716.00,168.00,884.00,883.15,0.85,186331.00,9746.01,176584.99
173,319,259,60,0,4,0,2,21.72,21.79,81225.69,23440.14,1036.00,420.00,1456.00,1294.99,161.01,187787.00,9907.03,177879.97
174,364,338,26,1,3,0,1,20.50,20.50,82088.92,23615.27,1352.00,182.00,1534.00,1351.15,182.85,189321.00,10089.88,179231.12
175,301,238,63,0,0,0,0,20.91,20.95,82741.86,23927.42,952.00,441.00,1393.00,1249.63,143.37,190714.00,10233.25,180480.75
176,209,188,21,2,0,0,0,21.84,21.78,83145.24,23967.68,752.00,147.00,899.00,893.95,5.05,191613.00,10238.31,181374.69
177,167,162,5,0,0,0,0,20.27,20.33,83450.60,23982.10,648.00,35.00,683.00,738.43,-55.43,192296.00,10182.88,182113.12
178,200,183,17,0,0,0,0,19.97,21.85,83902.40,24057.09,732.00,119.00,851.00,859.39,-8.39,193147.00,10174.49,182972.51
179,222,187,35,0,1,0,0,21.60,21.63,84258.14,24192.33,748.00,245.00,993.00,961.63,31.37,194140.00,10205.87,183934.13
180,259,243,16,0,1,0,0,20.14,20.41,84781.99,24217.48,972.00,112.00,1084.00,1027.15,56.85,195224.00,10262.72,184961.28
181,439,345,94,0,1,0,0,21.35,21.50,85589.03,24585.88,1380.00,658.00,2038.00,1714.03,323.97,197262.00,10586.69,186675.31
182,298,278,20,0,0,0,0,21.50,21.42,86150.54,24645.71,1112.00,140.00,1252.00,1148.11,103.89,198514.00,10690.59,187823.41
183,158,148,10,2,1,0,0,20.52,20.50,86434.74,24680.11,592.00,70.00,662.00,723.31,-61.31,199176.00,10629.28,188546.72
184,224,182,42,0,0,0,0,21.59,21.57,86797.61,24807.62,728.00,294.00,1022.00,982.51,39.49,200198.00,10668.77,189529.23
